gene	NPS_r	NPS_h	NPS_hr	rat_seed	human_seed	node_color	subgraph
ABLIM2	1.1726626400238516	1.0046798495079172	1.1781505247027202	0	0	0	PCNet
ABLIM3	0.2718313669389103	0.1523711952860743	0.0414192702967292	0	0	0	PCNet
ABO	-0.4053297804499653	-0.5783997052237494	0.234442625530667	0	0	0	PCNet
ABR	11.153885209351312	1.069449369901341	11.928515509092648	1	0	1	Conserved
ABRA	-0.1752872465074501	-0.0136471516049509	0.0023921716275015	0	0	0	PCNet
ABRACL	0.1793781486042155	0.8971669486665322	0.1609321462406958	0	0	0	PCNet
ABRAXAS1	-0.1726130778049531	0.3459345777478886	-0.0597128321842199	0	0	0	PCNet
ABRAXAS2	-0.5766846264583884	-0.6253788500902281	0.3606463685592596	0	0	0	PCNet
ABT1	0.1059755724478664	0.5923825640070131	0.062778081328778	0	1	2	PCNet
ABTB1	-0.2288449657719596	1.0744307580092984	-0.2458780700409785	0	0	0	PCNet
ABTB2	0.6474598346721678	-0.0903914825670379	-0.0585248543586265	0	0	0	PCNet
AC002310.5	1.758738403260678	1.714921451016352	3.016098214477984	0	0	0	Conserved
AC002996.1	-0.6516651466924677	-0.5704451455209185	0.3717392194358954	0	0	0	PCNet
AC003002.1	0.0404819098239449	0.0618693958722443	0.0025045913045621	0	0	0	PCNet
AC003688.1	-0.1775434974404407	1.9447286820646617	-0.3452739317864989	0	0	0	PCNet
AC004080.3	-0.6943018998453385	3.417262891976604	-2.372612118170332	0	0	0	Human-Only
AC004223.3	1.8257984567607648	1.882183947984329	3.436488547569672	0	0	0	Conserved
